Date,Close,High,Low,Open,Volume,Stock
2022-05-09,2928.53857421875,2998.425175362084,2840.4511441306886,2889.9592605504104,201931,OFSS
2022-05-10,2934.578369140625,2977.8414000937464,2917.0758737753404,2945.8357767562243,120733,OFSS
2022-05-11,2904.708984375,2962.2699142318734,2863.6645356721438,2962.2699142318734,139456,OFSS
2022-05-12,2876.072509765625,2913.419257426685,2851.462089778473,2876.442239819069,125825,OFSS
2022-05-13,2807.08349609375,2949.840162588122,2797.7865459598684,2949.5794568196566,259290,OFSS
2022-05-16,2738.6591796875,2849.832045293168,2694.3899007829896,2849.832045293168,151483,OFSS
2022-05-17,2838.62353515625,2849.9189456114173,2724.6268197574636,2774.326583334529,81976,OFSS
2022-05-18,2800.82763671875,2898.663363541413,2793.4421752910753,2838.710794304995,88759,OFSS
2022-05-19,2685.788330078125,2760.8592893170967,2676.143701367949,2754.3427056287005,79353,OFSS
2022-05-20,2795.57080078125,2806.171067385126,2703.0788025351562,2716.1119693747664,64394,OFSS
2022-05-23,2801.131591796875,2845.574603423429,2784.36220896019,2801.261838606759,46212,OFSS
2022-05-24,2758.9912109375,2814.2517118177143,2737.964198445416,2814.2517118177143,37132,OFSS
2022-05-25,2678.706787109375,2762.987934213577,2663.9793507369436,2737.83396417877,80312,OFSS
2022-05-26,2690.610595703125,2713.331879486867,2621.925969158978,2709.9866148056517,57140,OFSS
2022-05-27,2755.515625,2770.8077466096124,2704.8165218228078,2736.9649995958384,45155,OFSS
2022-05-30,2855.176025390625,2867.253342332678,2767.8103174738203,2767.8103174738203,43495,OFSS
2022-05-31,2861.953125,2875.116538352354,2837.7113079617166,2871.6410272754697,105704,OFSS
2022-06-01,2853.69873046875,2919.3422749488996,2841.2737361858376,2873.769679268817,98099,OFSS
2022-06-02,2882.936767578125,2901.183202815961,2844.6191687273144,2867.079746478577,42896,OFSS
2022-06-03,2853.134033203125,2949.318764712983,2839.2754745062,2919.3859664694696,59291,OFSS
2022-06-06,2857.087158203125,2873.37861542697,2799.524009345539,2864.6898382409195,44612,OFSS
2022-06-07,2850.006103515625,2873.378831048679,2808.4302167091296,2841.2303530478316,45245,OFSS
2022-06-08,2815.90234375,2875.767931681457,2802.130547525553,2875.767931681457,52567,OFSS
2022-06-09,2787.751220703125,2821.203019431626,2775.673902896659,2811.6018763319234,61587,OFSS
2022-06-10,2760.03369140625,2776.064443655207,2720.4562670060886,2771.93727429453,84560,OFSS
